Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,componentnumber,strongcompnum,eigencentrality
14_26,,,1,0,1,1,0,1,0,0,0,0,0.000119,0,1288,0.010387
14_27,,,8,6,14,8,6,14,21,0.084871,0.095854,0.001935,0.000689,0,1081,0.24989
16_75,,,2,0,2,2,0,2,0,0,0,0,0.00022,0,1286,0.022458
16_76,,,1,1,2,1,1,2,1,1,1,0,0.000119,0,1287,0.010387
22_73,,,3,0,3,3,0,3,0,0,0,0,0.000205,0,1285,0.033747
29_41,,,1,0,1,1,0,1,0,0,0,0,0.000119,0,1284,0.010387
30_28,,,3,1,4,3,1,4,3,0.448276,0.487179,0.000003,0.000263,0,1283,0.022129
39_29,,,1,0,1,1,0,1,0,0,0,0,0.000119,0,1272,0.010387
74_31,,,3,3,6,3,3,6,23,0.081019,0.091118,0.000525,0.000135,0,1081,0.058547
2_27,,,0,7,7,0,7,7,17,0.124444,0.145196,0,0.000113,0,1297,0
2_40,,,1,3,4,1,3,4,20,0.094521,0.104154,0.000008,0.000126,0,1296,0.005871
7_172,,,4,11,15,4,11,15,16,0.13892,0.166942,0.003327,0.000427,0,1081,0.05417
13_19,,,4,2,6,4,2,6,25,0.076165,0.086107,0.000308,0.000318,0,1293,0.023484
13_20,,,2,0,2,2,0,2,0,0,0,0,0.000196,0,84,0.087402
13_21,,,2,0,2,2,0,2,0,0,0,0,0.000224,0,898,0.04996
13_25,,,3,0,3,3,0,3,0,0,0,0,0.000159,0,1292,0.022129
47_22,,,2,0,2,2,0,2,0,0,0,0,0.00015,0,1291,0.011742
2_28,,,5,7,12,5,7,12,23,0.080253,0.097616,0.004434,0.000544,0,1081,0.154679
16_21,,,1,0,1,1,0,1,0,0,0,0,0.000179,0,271,0.060281
36_33,,,7,0,7,7,0,7,0,0,0,0,0.000352,0,270,0.121943
40_11,,,5,7,12,5,7,12,22,0.08569,0.104709,0.003565,0.000286,0,1081,0.250822
45_26,,,2,8,10,2,8,10,23,0.0792,0.096096,0.001318,0.000211,0,1081,0.066153
52_35,,,2,0,2,2,0,2,0,0,0,0,0.000238,0,261,0.070669
52_36,,,2,0,2,2,0,2,0,0,0,0,0.000238,0,260,0.070669
76_1,,,3,0,3,3,0,3,0,0,0,0,0.000368,0,259,0.087988
2_29,,,1,15,16,1,15,16,20,0.102985,0.130279,0.001605,0.000121,0,1081,0.036355
7_54,,,14,6,20,14,6,20,19,0.099502,0.116832,0.00549,0.000981,0,1081,0.459763
16_15,,,2,2,4,2,2,4,1,1,1,0.000079,0.000151,0,1006,0.023642
21_30,,,2,0,2,2,0,2,0,0,0,0,0.000143,0,1004,0.023642
41_9,,,2,18,20,2,18,20,20,0.105503,0.137434,0.004726,0.000177,0,1081,0.102097
41_10,,,2,1,3,2,1,3,1,1,1,0.000012,0.000177,0,178,0.102097
41_11,,,3,0,3,3,0,3,0,0,0,0,0.000166,0,399,0.146803
41_12,,,4,4,8,4,4,8,21,0.095513,0.116126,0.005105,0.000269,0,1081,0.268442
67_14,,,2,0,2,2,0,2,0,0,0,0,0.000141,0,821,0.042118
68_1,,,2,6,8,2,6,8,21,0.085855,0.098353,0.001341,0.000242,0,1081,0.028158
79_27,,,3,2,5,3,2,5,2,0.75,0.833333,0.000055,0.000176,0,176,0.082869
79_28,,,2,0,2,2,0,2,0,0,0,0,0.000128,0,184,0.054126
79_29,,,2,0,2,2,0,2,0,0,0,0,0.000128,0,183,0.054126
79_30,,,2,0,2,2,0,2,0,0,0,0,0.000128,0,182,0.054126
79_31,,,2,0,2,2,0,2,0,0,0,0,0.000128,0,181,0.054126
79_32,,,3,0,3,3,0,3,0,0,0,0,0.000192,0,180,0.072124
2_30,,,4,7,11,4,7,11,18,0.111168,0.130967,0.0019,0.000194,0,1081,0.135253
2_33,,,3,5,8,3,5,8,23,0.088526,0.101464,0.000657,0.000192,0,1081,0.069062
6_165,,,4,9,13,4,9,13,19,0.109247,0.129761,0.003199,0.000232,0,1081,0.171689
10_14,,,1,0,1,1,0,1,0,0,0,0,0.000136,0,755,0.052804
19_59,,,2,4,6,2,4,6,22,0.090592,0.106429,0.001187,0.000184,0,1081,0.058675
27_62,,,4,5,9,4,5,9,19,0.112593,0.130026,0.001212,0.000287,0,1081,0.155012
43_60,,,3,0,3,3,0,3,0,0,0,0,0.000167,0,747,0.13932
2_31,,,1,1,2,1,1,2,1,1,1,0,0.000118,0,1299,0.005871
24_45,,,1,0,1,1,0,1,0,0,0,0,0.000213,0,1298,0.010387
11_119,,,6,2,8,6,2,8,24,0.077029,0.08639,0.001124,0.000392,0,1081,0.149519
20_7,,,5,2,7,5,2,7,24,0.076534,0.088315,0.001249,0.000315,0,1081,0.190727
27_25,,,3,2,5,3,2,5,23,0.08666,0.095691,0.00049,0.000253,0,1081,0.133392
27_26,,,1,0,1,1,0,1,0,0,0,0,0.000145,0,757,0.033518
49_4,,,2,0,2,2,0,2,0,0,0,0,0.000224,0,756,0.057694
2_34,,,0,18,18,0,18,18,19,0.107673,0.134535,0,0.000113,0,1312,0
2_32,,,2,0,2,2,0,2,0,0,0,0,0.000168,0,1310,0.016258
2_35,,,1,2,3,1,2,3,24,0.081412,0.090801,0,0.000118,0,1311,0.005871
7_13,,,1,0,1,1,0,1,0,0,0,0,0.000118,0,1309,0.005871
11_43,,,3,0,3,3,0,3,0,0,0,0,0.000528,0,39,0.079307
12_100,,,3,2,5,3,2,5,27,0.061054,0.067458,0.00018,0.000355,0,1081,0.067998
15_30,,,3,0,3,3,0,3,0,0,0,0,0.000171,0,650,0.044873
15_31,,,2,2,4,2,2,4,26,0.06777,0.073646,0.000024,0.000132,0,1308,0.02336
17_11,,,4,1,5,4,1,5,1,1,1,0.000079,0.001205,0,221,0.108203
17_78,,,1,0,1,1,0,1,0,0,0,0,0.000118,0,1306,0.005871
18_50,,,6,7,13,6,7,13,21,0.081017,0.097413,0.00075,0.000534,0,1305,0.059896
21_37,,,1,0,1,1,0,1,0,0,0,0,0.000118,0,1304,0.005871
38_71,,,1,0,1,1,0,1,0,0,0,0,0.000118,0,1303,0.005871
38_72,,,2,0,2,2,0,2,0,0,0,0,0.000282,0,640,0.049436
44_10,,,1,1,2,1,1,2,1,1,1,0,0.000118,0,1302,0.005871
55_14,,,2,0,2,2,0,2,0,0,0,0,0.000166,0,1300,0.011742
2_36,,,1,1,2,1,1,2,26,0.069007,0.075878,0.000302,0.000331,0,1313,0.014903
51_9,,,4,3,7,4,3,7,25,0.074079,0.083206,0.000503,0.000555,0,1081,0.064486
