Id,Label,timeset,pr_indegree,pr_indegree_normalized,pr_domain,pr_proximity,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,Clustering Coefficient,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
23_83,,,0,0,0,0,0,7,7,23,0.082996,0.100111,0,0,0.001014,102,0,0.000113,0,2696,0,0
23_84,,,0,0,0,0,0,1,1,29,0.054868,0.06185,0,0,0.002815,32,0,0.000113,0,2697,0,0
23_89,,,0,0,0,0,0,1,1,3,0.416667,0.5,0,0,0.000008,22,0,0.000113,0,2698,0,0
23_90,,,0,0,0,0,0,2,2,2,0.666667,0.75,0,0,0.000028,20,0,0.000113,0,2699,0,0
42_44,,,1,0.000241,0.008901,0.001267,1,3,4,26,0.064957,0.073063,15,0.000136,0.000097,48,0.5,0.000126,0,1144,0.25,0.035723
45_10,,,1,0.000241,0.008901,0.001267,1,0,1,0,0,0,0,0.000136,0,48,0,0.000126,0,1143,0,0.035723
80_34,,,3,0.000722,0.327159,0.036039,3,0,3,0,0,0,0,0.00005,0,106,0.666667,0.000302,0,466,0.5,0.231063
80_35,,,3,0.000722,0.327159,0.036039,3,0,3,0,0,0,0,0.00005,0,106,0.666667,0.000302,0,465,0.5,0.231063
80_36,,,3,0.000722,0.327159,0.036039,3,0,3,0,0,0,0,0.00005,0,106,0.666667,0.000302,0,464,0.5,0.231063
23_105,,,0,0,0,0,0,3,3,20,0.096244,0.112342,0,0,0.000075,48,0.333333,0.000113,0,2700,0.166667,0
23_107,,,2,0.000481,0.326918,0.028531,2,5,7,21,0.084111,0.099496,7900.445753,0.000034,0.000086,48,0,0.000206,0,1081,0,0.085999
67_11,,,2,0.000481,0.327159,0.026326,2,0,2,0,0,0,0,0.000058,0,48,0,0.000187,0,192,0,0.097782
23_110,,,1,0.000241,0.000241,0.000241,1,2,3,2,0.625,0.7,1,0.000001,0,48,0,0.00015,0,2704,0,0.008045
83_29,,,1,0.000241,0.000241,0.000241,1,4,5,2,0.833333,0.9,3,0,0.000005,48,0,0.000176,0,2704,0,0.008045
83_30,,,1,0.000241,0.000481,0.000321,1,0,1,0,0,0,0,0,0,48,0,0.000176,0,2701,0,0.008045
75_36,,,3,0.000722,0.328362,0.027242,3,0,3,0,0,0,0,0.00003,0,102,0,0.000369,0,763,0,0.055754
31_10,,,1,0.000241,0.327159,0.027025,1,0,1,0,0,0,0,0.000038,0,102,0,0.000183,0,725,0,0.04265
24_32,,,1,0.000241,0.327159,0.022766,1,0,1,0,0,0,0,0.000022,0,20,0,0.00016,0,923,0,0.021543
24_6,,,0,0,0,0,0,1,1,1,1,1,0,0,0,36,0,0.000113,0,2705,0,0
24_4,,,2,0.000481,0.32764,0.019282,2,0,2,0,0,0,0,0,0,36,0,0.000236,0,859,0,0.012867
12_18,,,1,0.000241,0.32764,0.02282,1,0,1,0,0,0,0,0.000018,0,73,0,0.000178,0,833,0,0.017583
24_13,,,0,0,0,0,0,1,1,2,0.571429,0.625,0,0,0.000002,73,0,0.000113,0,2706,0,0
24_5,,,1,0.000241,0.3274,0.019255,1,0,1,0,0,0,0,0,0,36,0,0.00014,0,858,0,0.009814
24_26,,,1,0.000241,0.3274,0.019255,1,0,1,0,0,0,0,0,0,36,0,0.00014,0,857,0,0.009814
33_57,,,1,0.000241,0.3274,0.019255,1,0,1,0,0,0,0,0,0,36,0,0.00014,0,856,0,0.009814
24_27,,,0,0,0,0,0,1,1,1,1,1,0,0,0,53,0,0.000113,0,2707,0,0
24_30,,,0,0,0,0,0,3,3,1,1,1,0,0,0,21,0,0.000113,0,2710,0,0
70_29,,,1,0.000241,0.000241,0.000241,1,0,1,0,0,0,0,0,0,21,0,0.000145,0,2709,0,0.003053
70_30,,,1,0.000241,0.000241,0.000241,1,0,1,0,0,0,0,0,0,21,0,0.000145,0,2708,0,0.003053
24_31,,,2,0.000481,0.000481,0.000481,2,1,3,1,1,1,2,0,0,74,0,0.000304,44,2712,0,0.006105
33_59,,,1,0.000241,0.000722,0.000433,1,0,1,0,0,0,0,0,0,74,0,0.000371,44,2711,0,0.009027
24_34,,,0,0,0,0,0,1,1,1,1,1,0,0,0.000001,26,0,0.000113,0,2713,0,0
43_56,,,2,0.000481,0.32764,0.022222,2,0,2,0,0,0,0,0.000005,0,26,0,0.000242,0,480,0,0.021972
24_35,,,0,0,0,0,0,1,1,18,0.101844,0.113207,0,0,0.000051,17,0,0.000113,0,2714,0,0
72_18,,,1,0.000241,0.3274,0.030564,1,0,1,0,0,0,0,0,0,18,0,0.000157,0,204,0,0.036226
24_37,,,0,0,0,0,0,10,10,20,0.095479,0.113477,0,0,0.000191,75,0,0.000113,0,2725,0,0
33_23,,,1,0.000241,0.000241,0.000241,1,2,3,1,1,1,2,0.000025,0,75,0,0.000122,0,2724,0,0.003053
40_18,,,1,0.000241,0.000241,0.000241,1,7,8,20,0.097928,0.114296,1460.4,0.000025,0.000535,25,0.142857,0.000122,0,2721,0.125,0.003053
76_10,,,1,0.000241,0.000241,0.000241,1,0,1,0,0,0,0,0.000025,0,75,0,0.000122,0,2716,0,0.003053
76_12,,,1,0.000241,0.000241,0.000241,1,0,1,0,0,0,0,0.000025,0,75,0,0.000122,0,2715,0,0.003053
24_38,,,0,0,0,0,0,5,5,27,0.065927,0.077123,0,0,0.00383,22,0.2,0.000113,0,2727,0.15,0
35_30,,,1,0.000241,0.000241,0.000241,1,0,1,0,0,0,0,0.000497,0,22,0,0.000132,0,2726,0,0.003053
24_41,,,0,0,0,0,0,1,1,23,0.084278,0.096854,0,0,0.000034,5,0,0.000113,0,2728,0,0
24_42,,,0,0,0,0,0,1,1,1,1,1,0,0,0.000024,102,0,0.000113,0,2729,0,0
24_44,,,0,0,0,0,0,1,1,25,0.064935,0.07079,0,0,0.000017,36,0,0.000113,0,2730,0,0
